City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
51,Bowen,AU,2022-06-09 02:14:32,-20.0167,148.2333,67.35,44,7,6.22,clear sky,0.0,0.0
52,Severo-Yeniseyskiy,RU,2022-06-09 02:14:33,60.3725,93.0408,56.82,45,10,7.27,clear sky,0.0,0.0
53,Alta Floresta,BR,2022-06-09 02:14:33,-9.8756,-56.0861,73.42,77,59,2.62,broken clouds,0.0,0.0
54,Barrow,US,2022-06-09 02:14:33,71.2906,-156.7887,28.42,86,100,6.91,overcast clouds,0.0,0.0
55,Maputo,MZ,2022-06-09 02:14:34,-25.9653,32.5892,59.23,89,0,1.01,clear sky,0.0,0.0
56,Carnarvon,AU,2022-06-09 02:14:34,-24.8667,113.6333,67.23,90,97,15.12,overcast clouds,0.0,0.0
57,Oriximina,BR,2022-06-09 02:14:35,-1.7656,-55.8661,74.32,94,88,3.18,overcast clouds,0.0,0.0
58,Cockburn Town,TC,2022-06-09 02:14:35,21.4612,-71.1419,80.4,82,100,15.12,overcast clouds,0.0,0.0
59,Bull Savanna,JM,2022-06-09 02:14:36,17.8868,-77.5902,75.63,86,99,9.13,overcast clouds,0.0,0.0
60,Port Antonio,JM,2022-06-09 02:14:36,18.18,-76.4612,80.01,86,41,9.04,scattered clouds,0.0,0.0
61,Nuevo Progreso,MX,2022-06-09 02:14:37,23.1667,-97.95,82.89,65,38,1.99,scattered clouds,0.0,0.0
62,Hamilton,US,2022-06-09 02:14:37,39.1834,-84.5333,71.55,88,0,14.97,clear sky,0.0,0.0
63,Airai,TL,2022-06-09 02:14:37,-8.9266,125.4092,59.54,97,100,3.13,light rain,0.0,0.0
64,New Norfolk,AU,2022-06-09 02:14:38,-42.7826,147.0587,49.91,71,97,8.01,overcast clouds,0.0,0.0
65,Aykhal,RU,2022-06-09 02:14:38,66.0,111.5,55.78,39,89,3.36,overcast clouds,0.0,0.0
66,Albany,US,2022-06-09 02:11:22,42.6001,-73.9662,64.81,74,100,2.28,overcast clouds,0.0,0.0
67,Neiafu,TO,2022-06-09 02:14:39,-18.65,-173.9833,81.28,69,75,5.75,broken clouds,0.0,0.0
68,Mataura,NZ,2022-06-09 02:14:39,-46.1927,168.8643,51.48,77,99,2.57,overcast clouds,0.0,0.0
69,Severo-Kurilsk,RU,2022-06-09 02:14:40,50.6789,156.125,44.64,81,100,4.14,overcast clouds,0.0,0.0
70,Shelburne,CA,2022-06-09 02:14:40,44.0787,-80.2041,57.31,82,100,2.59,light rain,0.0,0.0
71,Naze,JP,2022-06-09 02:14:40,28.3667,129.4833,72.25,78,100,6.04,overcast clouds,0.0,0.0
72,Axim,GH,2022-06-09 02:14:41,4.8699,-2.2405,77.94,85,34,8.37,scattered clouds,0.0,0.0
73,Kralendijk,BQ,2022-06-09 02:14:41,12.15,-68.2667,82.38,78,40,14.97,scattered clouds,0.0,0.0
74,Punta Arenas,CL,2022-06-09 02:14:35,-53.15,-70.9167,33.91,75,20,17.27,few clouds,0.0,0.0
75,Vostok,RU,2022-06-09 02:14:42,46.4856,135.8833,66.67,56,87,7.16,overcast clouds,0.0,0.0
