City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
274,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
304,Isangel,VU,81.36,overcast clouds,-19.55,169.2667,Tanna Lodge
309,Sur,OM,86.92,clear sky,22.5667,59.5289,Sur Plaza Hotel
310,Kavieng,PG,84.07,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
316,Teacapan,MX,77.41,few clouds,22.55,-105.75,Hotel los Mangos
318,Tahoua,NE,86.85,few clouds,14.8888,5.2692,Bungalows Guesthouse
321,Itarema,BR,75.87,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
322,Danjiangkou,CN,87.64,overcast clouds,32.5428,111.5086,Dongsheng Guesthouse
326,Carutapera,BR,75.2,overcast clouds,-1.195,-46.02,Lidera
329,Ferkessedougou,CI,76.14,few clouds,9.6,-5.2,Hotel Chateau
330,Kudahuvadhoo,MV,81.93,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
331,Progreso,MX,89.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
334,Morgan City,US,82.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
337,Yining,CN,80.53,overcast clouds,29.0361,114.5636,Xiushui Hotel
338,Winneba,GH,77.41,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
340,Waingapu,ID,85.1,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
342,Luwuk,ID,84.97,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
344,Meadow Lake,US,80.04,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
346,Huangpi,CN,87.91,clear sky,30.8845,114.3779,Xinxing Lidu Hotel
348,Namatanai,PG,84.43,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
350,Port-Gentil,GA,75.52,overcast clouds,-0.7193,8.7815,Fengshui Residence
351,Bayan,CN,75.31,few clouds,46.0833,127.4,Wanhao Inn
352,Labuan,MY,81.25,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
353,Abomey-Calavi,BJ,78.37,overcast clouds,6.4485,2.3557,Miras Hôtel
354,Rabaul,PG,83.39,clear sky,-4.1967,152.1721,Rabaul Hotel
358,Tayu,ID,82.44,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
363,Abu Kamal,SY,79.16,clear sky,34.4506,40.9171,البوكمال
364,Korla,CN,81.86,clear sky,41.7597,86.1469,Gulisitan Hotel
371,Lodwar,KE,79.52,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
372,Labuhan,ID,81.95,overcast clouds,-6.8844,112.2051,DoubleFAG
381,Sawakin,SD,85.41,clear sky,19.1059,37.3321,فندق الدويم
382,Mexticacan,MX,82.85,scattered clouds,21.2654,-102.7798,mexticacan jalisco
397,Ardakan,IR,84.69,clear sky,32.31,54.0175,Ardakan Hotel
400,Shenzhen,CN,82.92,overcast clouds,22.5455,114.0683,Grand Skylight
401,Nanning,CN,86.45,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
405,Vega De Alatorre,MX,82.02,overcast clouds,20.0333,-96.6333,Hotel D Luxe
410,Korhogo,CI,75.06,clear sky,9.45,-5.6333,Hôtel Tchinbota
413,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
415,Valle De Allende,MX,80.76,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
417,Mayo,US,75.18,broken clouds,38.8876,-76.5119,Resorts Resource Group International
418,Macau,MO,82.2,few clouds,22.2006,113.5461,Grand Emperor Hotel
420,Marsh Harbour,BS,80.76,few clouds,26.5412,-77.0636,Abaco Beach Resort
421,Port Blair,IN,78.84,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
425,Ende,ID,84.18,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
428,Kieta,PG,84.4,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
429,Nenjiang,CN,80.62,few clouds,49.1833,125.2167,Nenjiang Apartment
430,Ganzhou,CN,77.23,moderate rain,28.8184,115.4327,Zhanqian Grand Hotel
431,Kroya,ID,80.33,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
433,Curup,ID,76.68,broken clouds,-3.4667,102.5333,Ayi The Costel
434,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
437,Alugan,PH,83.73,overcast clouds,12.2188,125.4808,JM Lodge
442,Seminole,US,77.36,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
444,Balkhash,KZ,77.61,clear sky,46.844,74.9804,Family
445,Pangkalanbuun,ID,84.0,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
455,Piney Green,US,77.95,clear sky,34.716,-77.3202,Holiday City Mobile Home Community
456,Fomboni,KM,79.3,clear sky,-12.28,43.7425,Auberge les abou
462,Trairi,BR,75.69,overcast clouds,-3.2778,-39.2689,janelas do mar
466,Iberia,US,84.27,clear sky,29.9502,-91.7507,back to back rv park
467,Mlonggo,ID,82.96,overcast clouds,-6.5333,110.7,Asia Metal Art
469,Gouyave,GD,81.37,scattered clouds,12.1646,-61.7296,Rumboat Retreat
475,Veraval,IN,84.49,overcast clouds,20.9,70.3667,Lords Inn Somnath
481,Hobyo,SO,79.88,broken clouds,5.3505,48.5268,Iftin hotel hobyo
482,Asyut,EG,82.56,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
486,Houma,US,84.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
493,Shangrao,CN,77.76,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
495,Bucerias,MX,78.98,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
497,San Jose,US,75.92,broken clouds,37.3394,-121.895,The Westin San Jose
505,Vaitape,PF,79.0,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
509,Puerto Ayacucho,VE,75.06,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
511,Chardara,KZ,77.45,scattered clouds,41.2547,67.9692,Жанаргул
515,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
516,Ewa Beach,US,85.37,clear sky,21.3156,-158.0072,Base Lodging
518,Iracoubo,GF,77.77,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
522,Davidson,US,77.76,scattered clouds,36.1501,-86.7833,Best Western Plus Music Row
528,Ahuimanu,US,85.14,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
529,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
534,Wewak,PG,82.15,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
